"변수명","유형","결측수","결측률","분석에서의 역할"
"코드","character",0,"0.0%","기업 ID — 클러스터 단위 (10장 클러스터 SE의 기준)"
"코드명","character",0,"0.0%","기업명 (레이블 — 분석에 직접 사용 안 함)"
"회계연도","numeric",0,"0.0%","연도 — 패널의 시간축"
"자산총계(천원)","numeric",0,"0.0%","원천 재무변수 — Size 파생의 기초 (5장)"
"부채총계(천원)","numeric",0,"0.0%","원천 재무변수 — 부채비율 파생의 기초 (5장)"
"당기순이익(천원)","numeric",0,"0.0%","원천 재무변수 — ROA 파생의 기초 (5장)"
"상장상태","character",0,"0.0%","정상/상장폐지 구분 (3장 생존편향 진단)"
"ESG등급","character",5953,"59.5%","ESG 등급 문자값 — NA 많음 주의 (이유: 미평가 기업)"
"부채비율","numeric",0,"0.0%","부채/자산 — 원시값 (극단값 처리 전)"
"부채비율_Win","numeric",0,"0.0%","Winsorize 처리된 부채비율 (4장 — 분석에서 이것을 씀)"
"Size","numeric",0,"0.0%","log(자산총계) — 기업 규모 대리변수 (5장)"
"ROA","numeric",0,"0.0%","당기순이익/자산총계 — 수익성 지표 (이 책의 핵심 종속변수)"
"Loss_Dummy","numeric",0,"0.0%","당기순손실 여부 0/1 더미 (8·11장 집단 비교·예측)"
"is_esg_rated","numeric",0,"0.0%","ESG 평가 여부 0/1 더미 (결측 구조를 흡수한 파생변수)"
"ATO","numeric",0,"0.0%","자산회전율 — 효율성 지표 (매출액/자산총계)"
"Female_Ratio","numeric",0,"0.0%","여성 임직원 비율 (10장 PBL 핵심 변수)"
