"기업","자산(조 원)","순이익(조 원)","ROA(%)","그룹"
"삼성전자",514.5,34.45,6.7,"순이익 상위"
"SK하이닉스",119.9,19.8,16.52,"순이익 상위"
"현대차",339.8,13.23,3.89,"순이익 상위"
"기아",92.8,9.78,10.54,"순이익 상위"
"현대모비스",66.6,4.06,6.1,"순이익 상위"
"HMM",33.8,3.78,11.17,"순이익 상위"
"SK스퀘어",21.9,3.65,16.65,"순이익 상위"
"한국전력",246.8,3.62,1.47,"순이익 상위"
"삼성물산",62,2.77,4.47,"순이익 상위"
"한화에어로스페이스",43.3,2.54,5.86,"순이익 상위"
"엘앤씨바이오",0.5,0.14,29.64,"ROA 상위"
"브이티",0.4,0.1,28.92,"ROA 상위"
"실리콘투",0.5,0.12,26.38,"ROA 상위"
"티앤엘",0.2,0.05,23.55,"ROA 상위"
"에이유브랜즈",0,0.01,22.57,"ROA 상위"
"SK바이오팜",1,0.23,21.89,"ROA 상위"
"아스테라시스",0,0.01,21.64,"ROA 상위"
"한미반도체",0.7,0.15,21.47,"ROA 상위"
"넥스틴",0.2,0.04,20.24,"ROA 상위"
"HD현대마린솔루션",1.2,0.23,19.78,"ROA 상위"
